Index,Label
1300,5
1646,6
1177,4
1009,3
187,1
85,0
547,2
277,1
1463,5
336,1
956,4
1170,4
1061,4
474,2
1749,6
407,1
924,3
552,2
1602,6
1162,4
836,3
1810,6
795,3
987,4
1034,4
1229,4
1081,4
582,2
656,2
1581,6
207,1
152,0
1416,5
1828,6
991,4
1005,3
1596,6
1394,5
871,3
297,1
49,0
359,1
1505,5
917,3
1518,5
391,1
777,3
1482,5
156,0
1497,5
1345,5
1094,4
1624,6
560,2
1521,5
1492,5
397,1
501,2
22,0
226,1
167,0
602,2
285,1
1786,6
1358,5
779,3
588,2
339,1
1423,5
1249,5
1600,6
1916,7
1411,5
229,1
1490,5
482,1
1426,5
842,3
1498,5
1726,6
1520,5
879,3
1420,5
386,1
39,0
1186,4
1319,5
867,3
665,2
1288,4
1637,6
1326,5
830,3
535,2
815,3
750,2
1464,5
768,3
76,0
1339,5
194,1
1261,4
1927,7
1032,4
1159,4
1615,6
630,2
663,2
26,0
146,0
564,2
1743,6
541,2
1166,4
1721,6
1858,6
337,1
1803,6
1154,4
1206,4
683,2
548,2
646,2
668,2
1333,5
1732,6
230,1
201,1
1016,4
1707,6
1355,5
806,3
486,2
9,0
529,2
1393,5
925,3
1610,6
1933,7
1402,5
755,3
1056,4
841,3
222,1
36,0
1257,4
246,1
183,0
1523,5
38,0
992,3
102,0
1120,4
1222,4
1174,4
1515,5
882,3
89,0
1038,4
97,0
1936,7
1607,6
664,2
1683,6
350,1
533,2
1185,4
824,3
627,2
886,3
1616,6
963,3
160,0
198,0
1204,4
1905,7
1096,4
985,3
1201,4
1782,6
1516,6
1283,4
1816,6
104,0
1280,5
203,0
1014,4
1254,4
1318,5
191,1
1630,6
1384,5
703,2
568,2
641,2
1582,6
135,0
1648,6
868,3
1529,5
215,1
1123,4
1037,4
942,3
1383,5
65,0
1437,5
877,3
1892,7
1476,5
616,2
550,2
881,3
670,2
1026,3
497,2
587,2
1609,6
291,1
583,2
717,2
82,0
1837,7
1267,5
1409,5
570,2
1680,6
1287,4
958,3
1187,4
686,2
576,2
1216,4
154,0
561,2
494,2
534,2
88,0
1799,6
445,1
1635,6
1701,6
157,0
54,0
1915,7
1200,4
1691,6
451,1
978,3
1645,5
1900,7
952,3
1331,5
793,3
1687,6
909,3
1682,6
1205,4
1872,7
1137,4
356,1
444,1
1899,7
809,3
490,1
1815,6
968,3
1389,5
527,2
838,3
1542,5
578,2
1692,6
442,1
770,3
253,1
997,4
1709,6
1467,5
165,1
713,2
962,3
1150,4
566,2
162,0
1882,7
682,2
567,2
62,0
947,3
275,1
1012,4
1274,4
357,1
1013,4
1167,4
1621,6
1779,6
487,2
762,3
723,3
832,3
69,0
1914,7
1029,3
53,0
236,1
1335,5
1598,6
1839,6
1533,5
1717,6
625,2
460,1
500,1
620,2
1095,4
1500,5
1903,7
819,3
1208,4
1230,4
1572,6
282,1
13,0
518,2
635,2
1047,4
173,0
622,2
47,0
1935,7
706,2
449,1
1918,7
680,2
700,2
41,0
1112,4
313,1
288,1
895,3
783,3
1227,4
1100,4
78,0
1524,5
1378,5
797,3
1663,6
1238,4
1593,5
935,3
725,3
1833,6
379,1
1246,4
1710,6
1359,5
457,2
1301,5
1893,7
1574,6
624,2
312,1
944,3
593,2
1633,6
1889,7
1114,4
719,3
1578,5
453,1
884,3
1547,6
467,1
804,3
811,3
1143,4
171,0
1311,5
1455,5
2,0
927,3
504,2
1077,4
677,2
1674,6
1142,4
1315,5
1640,6
48,0
27,0
1625,6
885,3
662,2
1220,4
1510,5
8,0
636,2
1184,4
414,1
1328,5
1532,5
805,3
672,2
95,0
224,1
1622,6
1566,5
287,1
1530,5
1821,6
743,3
1544,5
192,1
1376,5
546,2
1282,4
44,0
1528,5
1806,6
1041,4
1843,6
1483,5
96,0
1269,4
32,0
1805,6
1801,6
342,1
374,1
1735,6
1070,4
1850,7
746,3
80,0
512,2
1708,6
1193,4
1086,4
595,2
320,1
645,2
305,1
1685,6
1797,6
1307,5
960,3
29,0
1913,7
524,2
913,3
1049,4
270,1
1925,7
1894,7
400,1
559,2
1765,6
1644,6
1845,6
1171,4
1368,5
1761,6
1408,5
319,1
1388,5
1559,6
1251,4
918,3
976,3
1480,5
900,3
21,0
168,0
1332,5
1135,4
1638,6
728,2
1443,5
509,2
218,1
228,1
142,0
1576,5
1537,5
639,2
208,1
390,1
751,2
315,1
1781,6
1278,4
759,3
214,1
188,1
423,1
1668,6
840,3
401,1
1148,4
73,0
565,2
1073,4
954,3
969,3
902,3
1545,6
1655,6
922,3
888,3
1133,4
1398,5
1736,6
810,3
59,0
828,3
392,0
1308,5
800,3
274,1
661,2
419,1
769,3
111,0
1677,6
712,2
1149,4
1634,6
4,0
235,1
892,3
1093,4
984,3
1491,5
853,3
1164,4
10,0
489,2
1558,5
471,1
25,0
1151,4
740,3
1560,6
1132,4
373,1
563,2
1207,4
177,0
452,1
843,3
1338,5
424,1
318,1
1444,5
1926,7
1838,6
926,3
1706,6
1641,6
1462,5
938,3
784,3
1473,5
1275,4
265,1
1212,4
771,3
247,1
216,0
1526,5
1689,6
1896,7
903,3
199,1
1353,5
161,0
1152,4
1312,5
1322,5
251,1
1636,6
1442,5
510,2
914,3
1768,6
1031,4
941,3
1439,5
1449,5
1654,6
1772,6
814,3
1422,5
14,0
1446,5
707,3
581,2
1025,4
1334,5
1570,6
1715,6
376,1
862,3
1366,5
1237,4
936,3
67,0
55,0
1023,4
1823,6
617,2
1904,7
1458,5
1074,4
732,2
628,2
761,3
99,0
1225,4
590,2
1136,4
911,3
1181,4
349,1
1818,6
1930,7
681,2
749,3
1180,4
12,0
1377,5
1323,5
730,2
721,3
825,3
58,0
554,2
1619,6
1456,5
83,0
284,1
1066,4
1597,6
1395,5
335,1
854,3
1686,6
735,3
1868,7
1871,7
937,3
1474,5
1891,7
502,2
875,3
182,1
983,3
883,3
1045,4
