Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
142,1331.0,1336.0,4270168.0,4270218.0,40871.33301915426,15.0,50.0,17388.0,65.0,126.0,1360.0,1.0,52526.83935086181,100.0,0.0353,4652.236780773611,0.1,0.0037,0.3333,1.0,1.0,2.248,0.699,54929.343269485755,45955.91865933025,76183.66306857001,27023.38235767563,0
3,829.0,835.0,1553913.0,1553931.0,71.0,8.0,19.0,42364.01795571626,99.0,125.0,1623.0,1.0,31996.214062324958,100.0,75468.77992659662,0.3426,0.3333,,0.75,,1.0,,0.7782,1.2553,0.6667,57950.94468137274,0.215,0
707,41.0,210.0,4440514.0,16534.552889834453,61252.336958366985,,154.0,598976.0,43.0,125.0,1356.0,0.0,9354.475841152876,40.0,73008.01689485791,79218.48035415789,0.3669,0.1246,68440.78351110485,0.4026,0.0,3.755,2.2279,1.7924,16322.62672995216,-0.1773,1.0,2
1815,626.0,643.0,1969029.0,1969068.0,365.0,39.0,40.0,39229.0,,22534.528141307786,,1.0,0.0,100.0,0.7322,0.4495,0.4359,0.0099,,0.975,1.0,2.5623,1.2305,1.5911,0.5641,-0.1603,14365.522594189595,6
1384,435.0,729.0,4737382.0,4737394.0,1851.0,304.0,87.0,201109.0,91.0,132.0,1352.0,1.0,0.0,75251.81307433105,0.6435,0.4753,0.0408,0.2175,,0.1379,91881.55883708218,3.2674,2.4683,1.0792,-0.9592,-0.1512,1.0,6
340,1214.0,1222.0,737538.0,737568.0,147.0,,75954.91608936361,16908.0,,133.0,1362.0,0.0,,175.0,17883.46550678409,91971.67787083746,0.2667,0.0059,128.713140808856,0.9677,1.0,2.1673,0.9031,1.4771,0.7333,-0.1014,0.3977,1
1237,1067.0,,4532922.0,92992.93516444905,364.0,,60.0,41956.0,99.0,133.0,1358.0,1.0,0.0,100.0,0.3756,0.6111,20110.95754485416,0.0265,0.3636,0.4333,41068.196086869466,45562.54294778548,1.5563,64239.91023861456,38051.218823129,-0.0995,52654.96688382908,5
487,39.0,195.0,1863816.0,1864008.0,40151.0755151864,623.0,387.0,1505833.0,82659.63378550304,143.0,1402.0,0.0,,40.0,0.0556,94927.32845897003,0.8125,0.1113,0.2504,83417.32146052064,1.0,4.1152,2.1931,2.2833,0.1875,32303.69298490825,1.0,2
979,828.0,837.0,2451285.0,2451296.0,67.0,13.0,,8107.0,112.0,134.0,1350.0,,1.0,40.0,10205.660277136707,54624.92355784907,0.8182,0.0067,0.6923,1.0,1.0,1.8261,10521.868877256567,1.0414,0.1818,-0.0547,0.2051,5
1882,205.0,228.0,84986.36606996186,48422.77303171931,74.0,32.0,12.0,9115.0,110.0,141.0,1366.0,,0.0,69.0,0.3002,0.6783,0.4348,0.0168,0.7188,0.8333,0.0,1.8692,1.3617,35675.89008834029,-0.5652,,95068.52530840253,6
680,41.0,218.0,2698232.0,2698294.0,6327.0,275.0,148.0,660291.0,40.0,126.0,1358.0,0.0,1.0,40.0,,0.4235,0.3503,0.1303,0.6436,0.4189,,3.8012,2.248,1.7924,-0.6497,53299.38023456553,1.0,2
272,142.0,30438.29922030009,1723382.0,1723392.0,60.0,17148.891897890906,,6260.0,96.0,117.0,1360.0,,83715.33705999999,70.0,0.2088,,0.7692,0.0096,64847.36116968953,0.9091,0.0,88002.87310683397,41621.236344342586,1.0,,38768.015238616215,13099.473574796517,1
185,22717.142695206938,216.0,,425176.0,,748.0,403.0,611544.0,93.0,20102.00465107501,1358.0,91706.10433139514,,70.0,45923.94318473313,0.7566,0.8824,,,1078.5265789014732,1.0,3.7013,2.1303,2.1847,0.1177,-0.0496,1.0,1
880,932.0,65152.815786604166,77158.9998922998,3020360.0,,12.0,16.0,13996.0,88.0,126.0,,0.0,70512.91164982153,44044.4685638555,0.882,0.2727,0.6875,0.0065,0.9167,1.0,1.0,3340.584818757852,1.0414,1.2041,0.3125,-0.1458,0.3012,5
245,294.0,308.0,1323717.0,1323745.0,222.0,25.0,29.0,25660.0,104.0,125.0,1358.0,,0.0,70.0,0.433,0.4337,0.5,0.0103,0.56,0.9655,1.0,2.3463,23284.93635680171,1.4472,0.5,-0.097,0.6453,1
1318,804.0,817.0,151240.0,151265.0,133.0,32.0,25.0,16759.0,81802.56859492736,134.0,1372.0,0.0,1.0,40.0,5082.842604062798,34545.2257988055,0.52,59990.91824330426,0.4063,64214.062375519665,1.0,,1.1139,1.3979,0.48,97936.10279355907,21053.939480183424,6
1490,1578.0,1592.0,50599.858060207756,178484.0,168.0,36.0,29.0,18671.0,99.0,124.0,1692.0,,1.0,96616.31523426954,0.1182,,0.5385,0.0083,0.3889,0.8965,1.0,2.2253,75696.61618401391,1.415,0.4615,-0.1317,82910.26451526849,6
1919,275.0,299.0,1133715.0,1133734.0,74304.5115321804,,508.5785611946725,39911.0,74021.68666395606,140.0,26171.286013565954,88487.86884276448,1.0,40.0,,0.3026,0.7917,67333.37909853758,0.6154,0.5938,,2.5024,1.3802,,-0.2083,-0.0195,,6
967,21784.86785507876,260.0,70727.0988859295,961371.0,67.0,17436.610057448488,11.0,7550.0,99.0,125.0,1364.0,59126.32821863642,0.0,88647.37068258214,0.368,0.3232,0.8182,0.0066,0.8182,1.0,1.0,1.8261,0.9542,1.0414,0.1818,22329.4798716263,0.2051,5
856,619.0,630.0,2113679.0,2113824.0,926.0,113.0,48518.44552140746,98616.0,13868.187652201235,126.0,1364.0,84438.02695309107,70061.49257322449,92708.5993449366,0.9076,0.4194,0.0759,0.0081,0.0974,0.9931,1.0,79780.53673087126,1.0414,15279.658756890323,0.9241,-0.168,54293.878520787985,4
1392,,357.0,2286293.0,2286298.0,18509.809502172804,45391.472013299746,17.0,24816.0,116.0,134.0,1360.0,0.0,1.0,,0.4177,0.4466,0.0685,0.0537,56813.04205074891,0.2941,11474.853585612665,2.3054,,0.699,79892.43277283941,-0.0402,0.6031,6
1934,367.0,422.0,289647.0,289665.0,355.0,116.0,58.0,46882.0,123.0,7680.803499943545,1360.0,0.0,1.0,40.0,0.5397,0.6414,90174.55522843127,0.0404,0.4741,0.3103,0.0,2.5502,1.7404,75975.86937555815,-0.6727,0.0317,49474.80274300925,6
416,39.0,212.0,862475.0,862693.0,17357.0,794.0,,2034432.0,,7864.349885930577,1400.0,0.0,1.0,40.0,0.0557,0.5398,10346.208714771632,0.1236,0.2179,0.4404,31304.73147609636,4.2395,2.238,,0.2064,-0.0843,1.0,2
274,322.0,357.0,61861.28370232706,,314.0,84.0,19606.04391759031,38597.0,110.0,20943.126085101372,1356.0,1.0,94814.81343810925,68714.13501011931,25796.219295879542,0.7437,1.0,0.0258,0.4167,,23995.70442977137,2.4969,1.5441,11293.614608813352,0.0,-0.0397,0.9979,1
1572,,517.0,399348.0,399363.0,116.0,24397.75376872134,15.0,11910.0,29373.1813424301,123.0,50486.053052658164,1.0,0.0,80.0,61506.850031352464,,0.6667,0.0059,93799.33229304056,,32400.028767660016,2.0645,,1.1761,31331.9489453171,-0.1979,0.266,6
1442,1126.0,1134.0,16017.014835756792,,59.0,,10.0,6936.0,102.0,135.0,82045.84867853788,92255.53502521025,0.0,47368.63224892518,0.6304,0.2625,0.8,,0.7273,92188.7552985987,1.0,1.7708,0.9031,1.0,116.21788831338576,77382.21596801335,,6
1691,98.0,168.0,395521.0,395722.0,95200.75348272735,189.0,51958.6177187838,782154.0,29436.46744327655,30931.559103955577,1360.0,,1.0,200.0,0.1441,0.4289,0.3483,0.0515,0.3704,0.9392,1.0,3.905,1.8451,79061.5927871709,0.6517,-0.2395,1.0,6
251,80351.83452252127,59958.34234539427,,1398914.0,61.0,1666.606786133673,83841.90068531704,6834.0,102.0,124.0,1358.0,94567.90714569614,0.0,,0.1252,60611.02163966404,84881.08403490216,0.0081,15837.694739091901,0.9091,0.0,1.7853,1.0414,1.0,-0.0909,-0.1247,0.2173,1
414,,26061.48535453423,,21779.071298723306,20313.0,755.0,497.0,2400588.0,23.0,45380.35273707647,1400.0,0.0,1.0,40.0,0.0586,0.4373,0.9895,0.1364,0.253,0.3803,88342.72749129168,4.3078,2.281,75094.54932586694,-0.0105,-0.0767,1.0,2
1864,1335.0,13661.033999208072,2191536.0,2191539.0,795.0,333.0,62.0,,7847.343263237638,,1692.0,1.0,0.0,70.0,28439.93821159846,,0.009,0.1968,1.0,0.0484,0.0,2.9004,2.5224,0.4771,-0.991,-0.0626,0.9905,6
1757,74.0,80.0,2615295.0,,62.0,,14.0,6764.0,40106.78076156415,126.0,5315.671769279528,1.0,91182.47748721718,70.0,0.109,0.2619,0.4286,0.0044,0.4615,24412.39839920717,1.0,1.7924,0.7782,1.1461,0.5714,-0.1477,0.1892,6
1520,37759.88572776916,1374.0,4174907.0,,115.0,9.0,19.0,91825.9349396061,44.0,109.0,1387.0,0.0,1.0,50.0,0.0188,4817.537949801221,0.4737,0.0065,1.0,1.0,1.0,2.0607,0.9542,1.2787,0.5263,13928.542372809583,,6
311,4.0,17.0,2445033.0,2445050.0,97.0,19.0,17.0,,47.0,77.0,1358.0,1.0,27133.242711574647,70.0,0.0059,0.5611,0.7647,0.0096,0.6842,97095.55335670986,1.0,1.9868,1.1139,,,,0.3678,1
382,824.0,832.0,,928264.0,53.0,9.0,8.0,9033.0,158.0,181.0,90368.6607293255,0.0,1.0,40.0,0.8003,0.1719,,0.0058,0.8889,1.0,0.5,1.7243,0.9031,0.9031,0.0,85152.64216339993,0.1696,2
1279,1611.0,1619.0,1671950.0,1671963.0,69.0,10.0,14.0,5361.0,,93.0,1656.0,1.0,0.0,80.0,0.0447,74188.47233939987,0.6154,0.0048,0.8,0.9286,1.0,1.8389,0.9031,1.1139,0.3846,-0.393,58547.88780634708,6
426,41.0,58.0,997542.0,997556.0,128.0,38.0,27.0,16028.0,120.0,134.0,1400.0,0.0,1.0,40.0,0.0586,0.4622,0.8235,0.0121,0.4474,0.5185,0.0,2.1072,46123.2605997369,1.1461,-0.1765,67858.79402883178,,2
486,91774.57577940956,29342.376412796013,19538.67620569335,1853339.0,10880.0,649.0,409.0,1245114.0,33.0,141.0,1400.0,0.0,79100.32102051914,40.0,0.0586,0.5676,0.8706,15660.822025094534,0.228,0.4157,1.0,4.0366,,2.2304,0.1294,-0.1059,1.0,2
708,41.0,209.0,,4639275.0,5828.0,41893.122384013644,169.0,618846.0,48.0,35944.86142938826,45187.362190523374,,1.0,40.0,0.0604,0.4663,0.3869,0.1237,0.5676,0.3846,19705.298934828,3.7655,2.2253,1.8129,72072.05458264018,-0.1704,1.0,2
721,61.0,213.0,7783272.0,7783320.0,,157.0,,,73.0,99457.8490939282,1362.0,0.0,78523.64426995051,95327.46486779419,0.0896,2526.1315551230014,0.3158,39639.73521647342,0.9682,0.5053,0.0,3.5825,2.1818,1.6812,-0.6842,,1.0,2
1563,155.0,187.0,673270.0,61827.760993083655,129.0,50.0,25.0,16937.0,123.0,141.0,1354.0,0.0,93407.92427338431,60592.08438354793,0.2289,0.6335,0.3438,,35541.56067634103,0.44,0.0,2.1106,1.5051,1.0414,91260.19135517755,0.0257,99520.22913044957,6
409,39.0,97003.85783568001,684933.0,,61659.86293051822,926.0,591.0,1992604.0,86687.66449710359,54997.29180088234,1400.0,0.0,1.0,40.0,0.0557,0.8817,0.2892,47778.650802555945,0.7505,0.3401,0.0,79395.86417449547,2.842,81972.67289095695,-0.7108,73855.9478974438,1.0,2
1243,634.0,655.0,5303273.0,5303295.0,99178.37361953873,30.0,25.0,,79.0,127.0,65433.634946400874,,7085.965165579122,40.0,0.931,0.2727,69368.75762979402,,0.7,,,2.5263,,1.3424,0.0454,98870.19082895128,0.7436,5
875,1351.0,1360.0,62458.378073647305,4807479.0,135.0,12.0,,13096.0,89.0,109.0,1387.0,0.0,1.0,50.0,0.0389,0.25,60615.02831772348,10256.815344688863,0.75,0.9524,14992.757026262338,2.1303,0.9542,1.301,,-0.2421,0.3068,5
1589,436.0,,1120537.0,1120571.0,369.0,18.0,66701.46147448714,41469.0,52.0,148.0,1687.0,0.0,1.0,150.0,0.5169,,0.5,0.0101,0.9444,13001.856172635229,1.0,2.567,,1.5315,0.5,-0.122,0.8627,6
1533,1644.0,1661.0,1554711.0,1554760.0,468.0,76195.96488531766,54.0,41524.0,80.0,101.0,34174.253454904865,58429.9072932867,0.0,70.0,0.0366,0.4382,0.3469,0.01,0.2429,0.9074,1.0,2.6702,74120.30161177037,1.6902,0.6531,-0.3068,18670.191333179388,6
528,39.0,178.0,61412.0823434373,,7998.0,77795.51056110149,343.0,889727.0,49.0,140.0,1400.0,0.0,1.0,40.0,0.0557,0.6448,0.858,0.0993,0.2491,36369.26494396099,53822.93175950197,3.903,2.143,82572.76573896757,0.142,-0.1309,1.0,2
1299,79007.98011716268,,393457.0,393488.0,196.0,11.0,,22532.0,97.0,34654.38533672163,1687.0,0.0,1.0,200.0,,0.2097,0.2581,0.0047,0.7273,,,2.2923,0.9031,1.4914,6733.711721852298,-0.1019,0.4106,6
183,185.0,30738.95637144619,387402.0,387414.0,,23.0,12.0,,104.0,127.0,1356.0,1.0,0.0,70.0,0.2729,0.5536,,,0.6087,1.0,0.0,1.8751,1.1461,1.0792,-0.1429,65924.27843136332,0.2901,1
1498,,265.0,,220253.0,200.0,57557.60364718157,25.0,18651.0,66.0,88404.8996300409,1692.0,,1.0,300.0,0.2991,0.3333,41069.27215899375,0.0071,0.4,1.0,1.0,2.301,69601.67203592871,23309.153699750317,0.52,54173.94609887238,0.4963,6
171,10.0,20192.25614376223,53216.85501844674,204953.0,135.0,16.0,23.0,68095.20918208986,40974.42199343496,86.0,,1.0,13729.603682910962,31636.220399121274,0.0148,65313.213559725606,0.55,0.0081,0.6875,0.8696,1.0,,1.0414,33611.69279710761,,83260.7363014437,,1
293,69.0,81.0,2001776.0,2001794.0,33160.43058626561,20.0,85248.09250708325,11516.0,84.0,117.0,39058.04448195313,5032.1938538881,0.0,70.0,40056.459839357085,11588.109892896926,0.6667,0.0089,0.6,1.0,26489.505942514978,77337.69395677267,,1.2553,39046.76916225444,-0.244,0.3601,1
527,39.0,173.0,24989.181145414397,2616725.0,8344.0,,338.0,945879.0,27189.490963755426,141.0,1400.0,0.0,97425.65626482129,40.0,0.0557,0.5793,0.9054,26495.73178577962,0.2401,0.4379,1.0,3.9214,2.1271,2.1703,0.0946,-0.1144,1.0,2
911,99318.52035408221,976.0,2690125.0,,67.0,13.0,10.0,6947.0,84.0,119.0,1690.0,1.0,0.0,60.0,0.845,0.2556,0.9,0.0053,16507.52087524325,1.0,,1.8261,,1.0,0.1,-0.19,0.1954,5
301,,19217.060490378968,20181.303168239094,,14366.611927861739,15.0,13.0,5573.0,81.0,103.0,1354.0,1.0,86704.27982015113,62133.53852671298,0.0325,0.4872,0.6923,0.0066,0.6,1.0,1.0,1.7781,0.9542,41597.183186673225,0.3077,-0.2743,0.2253,1
1821,1129.0,1137.0,6993.709357896538,1207406.0,101.0,27.0,27.0,11776.0,104.0,,1694.0,24425.196760238767,1.0,70.0,0.6576,0.5324,,0.0047,0.2963,77344.27811152766,69225.5131024619,2.0043,0.9031,42429.73034877693,46235.70002106431,-0.0891,0.3601,6
1064,990.0,998.0,1973168.0,1973176.0,59.0,85112.04084063877,8.0,6543.0,93.0,122.0,1622.0,1.0,0.0,70.0,373.9458682494701,0.0781,1.0,0.0049,,1.0,0.5,1.7708,56723.61884996459,0.9031,,-0.1336,46912.324768819,5
1605,1287.0,1302.0,3204829.0,3204845.0,191.0,17.0,38915.77583286995,20590.0,67.0,133.0,1627.0,19200.888350897483,1007.0376699589434,40.0,0.3995,0.2042,0.9375,0.0092,0.8824,59039.63191124032,1.0,2.281,1.1761,1.2041,0.0625,-0.1578,0.3977,6
862,,11257.552569635243,2197352.0,12110.151517901424,,40963.983458383416,,12919.0,106.0,127.0,80282.43769754305,0.0,,100.0,0.9004,0.4219,0.3333,0.0059,0.381,1.0,,42159.93127452955,0.9031,1.3802,0.6667,-0.0907,7499.1120265129775,4
1874,63.0,92.0,3212692.0,9012.11932560827,49245.63569818107,29.0,10.0,7618.0,100.0,165.0,1690.0,48260.12300675485,0.0,70.0,0.0746,0.3333,90458.77940259606,0.0172,16249.84600531072,0.3,0.0,55564.865581137354,1.4624,18249.028230191732,,0.0261,0.1923,6
1335,357.0,373.0,929482.0,929513.0,213.0,42.0,39.0,20512.0,80.0,118.0,1374.0,0.0,1.0,40.0,0.5196,0.5706,0.5161,0.0116,0.381,0.7949,1.0,2.3284,,1.4914,55452.10149431149,64884.43116061345,95402.36639937323,6
1113,,149.0,356611.0,356625.0,170.0,39.0,20.0,82438.82351063892,123.0,141.0,32443.80034789315,35049.872996928374,12549.494409749295,100.0,0.1836,0.494,0.5833,0.0176,0.6154,,0.0,2.2304,1.3802,1.1461,-0.4167,29713.786869227886,0.556,5
1126,1215.0,,,1545486.0,184.0,42.0,22.0,22708.0,115.0,135.0,1628.0,0.0,71194.82615679126,120.0,0.4865,0.3987,62199.539277478674,0.0104,,63904.712496580774,,2.2648,1.2305,1.2553,0.0556,,0.5063,5
1245,1134.0,1145.0,5798193.0,5798213.0,143.0,20.0,67336.28136894712,16538.0,104.0,70634.07131877005,1362.0,,1.0,40.0,,0.35,81649.6937542402,0.0081,0.55,0.9524,1.0,2.1553,47465.318560660606,19904.4241006192,41496.658508691995,-0.0965,0.3663,5
423,39.0,218.0,965451.0,68761.63602579337,16821.0,670.0,425.0,1972773.0,79581.1057955311,141.0,1398.0,0.0,,40.0,0.0558,0.365,0.8268,84346.93747288866,0.2672,0.3482,0.0,,2.2529,2.1703,-0.1732,17669.2194908616,31705.885332613194,2
372,856.0,49045.0494453195,519257.0,519266.0,57.0,10.0,59749.18016055482,9848.0,161.0,183.0,1387.0,0.0,1.0,38319.155109414714,0.7541,0.2083,77234.05974502358,0.0058,,,1.0,1.7559,33121.38879610755,0.9542,0.1111,0.3498,,2
1091,1038.0,1047.0,13500.962694219843,603608.0,80.0,12.0,12.0,9136.0,100.0,133.0,,,1.0,40.0,0.458,0.2593,0.75,0.0066,79261.02641792156,1.0,1.0,1.9031,0.9542,1.0792,0.25,-0.1078,0.215,5
620,41.0,219.0,1704636.0,1704704.0,6625.0,351.0,173.0,686356.0,62846.55965239231,75131.89111979435,1358.0,0.0,1.0,40.0,0.0604,86125.85654107912,,7394.413500321451,0.5071,0.3931,,3.8212,2.2504,1.8325,-0.618,-0.1906,1.0,2
1232,88247.0172033788,,4387848.0,4387862.0,175.0,45848.31394993281,32.0,20658.0,104.0,134.0,1364.0,1.0,0.0,80.0,4894.933484686537,0.6429,0.4,62938.40789329949,0.6604,0.4375,0.0,2.243,1.5441,,-0.6,52587.82660083651,0.7776,5
983,1312.0,1322.0,4118358.0,4118372.0,77.0,5518.344773730632,14.0,8558.0,104.0,119.0,1350.0,0.0,1.0,,0.0415,0.45,2338.4456442219316,0.0074,71704.73701686683,,1.0,1.8865,1.0,1.1461,39444.12747176422,-0.1317,,5
1710,37492.674385764636,153.0,310621.0,310797.0,2281.0,365.0,268.0,287273.0,113.0,143.0,57739.80397766234,0.0,1.0,220.0,0.1621,90853.8741132266,92418.25524690058,0.0287,,,1.0,3.3581,1.6021,,,-0.0161,1.0,6
176,51762.22263098147,82.0,287835.0,287869.0,56080.454920768316,49.0,42.0,35427.0,78.0,,1356.0,1.0,0.0,67251.29595559172,0.0929,80110.98514527026,,,0.3878,0.8095,1.0,2.6021,1.2787,,0.4412,56898.57391382578,0.9082,1
562,39.0,175.0,409491.0,409539.0,3920.0,166.0,,407163.0,44660.74980719208,125.0,1360.0,22816.447198901944,1.0,40.0,0.0573,0.3995,0.3529,0.1,0.8193,0.5454,0.0,3.5933,2.1335,1.6812,-0.6471,-0.1885,1.0,2
1388,449.0,549.0,2212600.0,,78231.08026332816,110.0,35.0,43968.0,111.0,133.0,1356.0,0.0,,40.0,0.6622,,0.08,24417.43189076504,42455.32752405602,0.2286,14519.002369316913,2.5659,2.0,29837.609572091173,-0.92,,0.965,6
1602,,1130.0,2527319.0,2527390.0,747.0,62.0,64221.68564737282,8497.291804470742,44439.088022657066,84947.57157013404,1280.0,1.0,0.0,100.0,0.2344,0.4463,93314.52328144354,0.0148,0.3065,,1.0,,4772.411114729125,67302.56697694832,7428.09698381326,-0.1986,0.9991,6
1314,25.0,,281358.0,281513.0,,36.0,60766.74662206899,76438.0,70.0,67086.18133853762,1353.0,72443.42689639497,1.0,185.0,0.0369,0.3613,13164.709135626907,0.0066,0.25,1.0,1.0,2.9499,79522.49082550858,2.1903,0.9419,84911.47889299305,,6
335,145.0,23624.919793401565,1317364.0,1317395.0,508.0,56883.36038241616,59343.97652990586,65223.0,120.0,142.0,1362.0,0.0,17175.179717604817,40.0,0.2129,0.6849,0.5961,0.0382,0.4643,0.5254,0.0,2.7059,1.716,,-0.4038,0.0031,0.9998,1
1638,,74.0,5367324.0,5367377.0,784.0,66.0,54.0,82565.0,67.0,133.0,1648.0,1.0,0.0,80.0,0.0255,0.7209,54838.731138157236,0.0322,0.803,0.9815,0.5,,1.7243,1.7243,37439.04959378619,-0.1772,1.0,6
915,1357.0,1370.0,3378464.0,3378474.0,81.0,15.0,10.0,8996.0,91.0,133.0,1692.0,1.0,0.0,60.0,0.3806,0.3769,0.7692,0.0077,47811.41425377584,1.0,0.0,1.9085,62872.693641280064,1.0,-0.2308,-0.1323,0.2408,5
1132,62141.41713215493,,21870.770862283374,261732.0,144.0,17.0,19.0,15785.0,88.0,11379.040114982241,1356.0,0.0,,97021.9738461089,0.7345,72490.69608509848,0.5789,,0.6471,1.0,1.0,46664.93657020776,1.0414,1.2787,27276.14054725388,91646.26334455855,0.3494,5
1019,,939.0,,1248687.0,88.0,13.0,,9120.0,88.0,118.0,,1.0,72973.41742767149,80.0,0.8659,0.2,90026.07926936234,0.006,0.7692,1.0,10244.459803799266,1.9445,55166.57484449498,,0.0909,-0.1903,0.2173,5
629,,212.0,1814642.0,1814708.0,6525.0,278.0,134.0,674367.0,38.0,124.0,1358.0,0.0,,40.0,0.0574,0.4285,,12243.797026062686,0.6223,16760.379930654246,0.0,3.8146,80228.65333938607,1.8195,-0.6185,-0.1926,,2
988,1582.0,,,1612870.0,193.0,71723.63751101212,30.0,98817.37712481117,56212.02994697645,111.0,1654.0,1.0,0.0,69.0,0.075,0.3567,0.3333,0.006,0.4,1.0,,2.2856,1.0,1.4771,0.6667,17426.34782156738,0.4963,5
746,778.0,82883.22742823773,1292292.0,1292296.0,12.0,4.0,4.0,1537.0,112.0,149.0,18734.94835633789,,1.0,50.0,0.85,42406.97102840867,1.0,8684.67913262413,1.0,1.0,0.5,1.0792,0.6021,0.6021,0.0,0.0007,40218.33137163745,3
568,121.0,74124.71499839734,473414.0,473430.0,40390.67645446708,51.0,31.0,28034.0,116.0,135.0,1358.0,0.0,1.0,40.0,0.1782,0.6234,0.4211,0.028,0.7451,0.5161,0.0,2.3598,1.5798,1.2041,-0.5789,68858.2254903209,0.8848,2
199,703.0,,618132.0,618148.0,112.0,22211.166801810745,17.0,11154.0,87.0,77312.75149551388,1356.0,1.0,0.0,70.0,,,0.9375,0.0111,0.6522,41770.627374717384,33108.954371368345,2.0492,1.1761,76540.09761187098,0.0625,-0.222,30492.575515370245,1
16,669.0,684.0,491552.0,491684.0,1097.0,59.0,2169.7804504245855,119540.0,50.0,134.0,1275.5591833342073,81904.90979576591,2798.741919460346,150.0,0.7931,0.446,0.1136,0.0089,0.2542,0.9925,1.0,3.0402,1.1761,2.1206,,-0.1487,1.0,0
266,31.0,,1647143.0,,445.0,72.0,55.0,46236.0,91.0,118.0,96396.13675190567,1.0,0.0,70.0,41922.90224528217,5510.142002082385,4886.405942070282,0.014,0.2639,,1.0,2.6484,49420.55629765605,1.7076,83180.37930502927,-0.1883,0.9884,1
1671,483.0,86484.06513702,5060301.0,5060316.0,206.0,41.0,21.0,25181.0,104.0,143.0,,1.0,,200.0,0.5919,0.5264,0.5172,,0.7073,0.7143,0.0,2.3139,,1.1761,6105.474671346334,64268.17360570502,86844.27583103553,6
789,30137.954059235937,302.0,1028213.0,1028219.0,16.0,5.0,6.0,1990.0,120.0,132.0,1356.0,,1.0,50.0,0.4381,0.4667,0.8333,0.0037,88113.42116339342,1.0,1.0,1.2041,56535.91283972583,0.7782,0.1667,-0.0283,0.14,3
